"#","Name","Pos","GP","G","A","PTS","SOG","+/-","FO W/L","BkS","PIM","TkA","GvA","S%","PPG","SHG","GWG","PPGA","FO%","ShB","Sh"
"14","Jillian Dempsey","F","24","17","23","40","158","+28","342 - 206","14","6","26","9",".108","2","1","4","1.7",".624","19","182"
"17","McKenna Brand","F","24","19","17","36","138","+31","5 - 8","2","14","19","13",".138","1","0","6","1.5",".385","32","178"
"21","Christina Putigna","F","24","8","21","29","96","+24","5 - 3","9","12","21","22",".083","2","0","1","1.2",".625","19","120"
"16","Lexie Laing","F","24","12","15","27","88","+13","251 - 158","13","4","14","13",".136","3","1","3","1.1",".614","14","102"
"11","Emily Fluke","F","23","9","18","27","49","+21","8 - 15","10","16","10","9",".184","1","0","1","1.2",".348","10","60"
"9","Tori Sullivan","F","24","11","14","25","62","+16","12 - 13","3","8","9","8",".177","5","0","1","1.0",".480","9","72"
"7","Mary Parker","F","17","15","9","24","77","+17","154 - 132","5","6","22","20",".195","2","0","1","1.4",".539","10","87"
"13","Kaleigh Fratkin","D","24","3","20","23","68","+33","1 - 0","20","38","18","10",".044","1","0","1","1.0","1.000","44","121"
"8","Alyssa Wohlfeiler","F","14","5","11","16","31","+15","0 - 0","3","22","8","15",".161","0","0","0","1.1",".000","14","45"
"47","Mallory Souliotis","D","22","4","12","16","54","+29","0 - 0","23","10","11","8",".074","3","0","1","0.7",".000","26","84"
"26","Carlee Toews","F","22","7","8","15","49","+9","2 - 7","8","6","12","11",".143","2","0","1","0.7",".222","8","59"
"5","Lexi Bender","D","24","4","9","13","43","+19","0 - 0","11","18","10","9",".093","2","0","1","0.5",".000","22","67"
"4","Lauren Kelly","D","23","2","10","12","57","+17","0 - 0","23","25","20","7",".035","0","0","0","0.5",".000","27","88"
"28","Briana Mastel","D","24","1","6","7","26","+9","0 - 0","9","4","3","7",".038","0","0","0","0.3",".000","18","45"
"12","Jenna Rheault","D","24","1","5","6","33","+13","0 - 1","17","4","16","10",".030","0","0","1","0.3",".000","25","60"
"27","Jordan Juron","F","8","1","2","3","13","0","13 - 18","2","2","3","0",".077","0","0","0","0.4",".419","2","17"
"18","Marisa Raspa","F","11","0","1","1","11","+4","23 - 19","0","10","6","4",".000","0","0","0","0.1",".548","3","19"
"71","Whitney Renn","F/D","20","0","0","0","14","+5","0 - 0","9","0","5","7",".000","0","0","0","0.0",".000","3","19"
