"#","Name","Pos","GP","G","A","PTS","SOG","+/-","FO W/L","BkS","PIM","TkA","GvA","S%","PPG","SHG","GWG","PPGA","FO%","ShB","Sh"
"95","Taylor Accursi","F","24","16","9","25","69","-19","12 - 23","2","16","10","16",".232","5","0","1","1.0",".343","18","91"
"4","Marie-Jo Pelletier","D","24","6","15","21","46","-13","0 - 2","30","0","15","14",".130","3","0","1","0.9",".000","23","70"
"8","Iveta Klimasova","F","24","3","15","18","66","-13","4 - 9","16","43","17","17",".045","1","0","0","0.8",".308","30","101"
"3","Brooke Stacey","F","14","8","8","16","31","+1","7 - 4","3","2","8","2",".226","1","0","1","1.1",".636","6","37"
"81","Erin Gehen","F","24","7","9","16","48","-2","4 - 12","9","20","11","8",".146","1","0","1","0.7",".250","8","58"
"23","Corinne Buie","F","24","6","7","13","68","-16","202 - 208","9","18","13","9",".088","2","0","2","0.5",".493","19","93"
"17","Cassidy MacPherson","F","24","5","7","12","63","-10","195 - 200","12","4","11","5",".079","2","0","0","0.5",".494","13","80"
"5","Lenka Curmova","D","23","3","8","11","30","-7","0 - 0","23","28","7","13",".100","2","0","1","0.5",".000","16","49"
"88","Sara Bustad","F/D","23","2","9","11","27","-14","9 - 25","14","30","4","18",".074","1","0","0","0.5",".265","11","42"
"22","Becki Bowering","F","24","3","6","9","27","-22","117 - 159","11","28","9","11",".111","0","0","0","0.4",".424","11","39"
"21","Kim Brown","F","24","4","4","8","32","-15","40 - 46","5","24","14","8",".125","0","0","0","0.3",".465","12","46"
"6","Kristin Lewicki","F","6","2","4","6","11","-4","0 - 4","2","0","3","3",".182","1","0","0","1.0",".000","1","13"
"11","Megan Delay","D","16","1","5","6","16","-1","0 - 0","13","33","5","9",".063","0","0","0","0.4",".000","8","24"
"10","Mikyla Grant-Mentis","F","2","2","1","3","8","0","25 - 16","0","2","0","0",".250","1","0","0","1.5",".610","1","10"
"19","Ashley Birdsall","F/D","18","1","2","3","6","-4","2 - 3","6","8","4","4",".167","0","0","0","0.2",".400","7","14"
"15","Kandice Sheriff","F","24","1","1","2","23","-16","10 - 11","19","14","3","4",".043","0","0","0","0.1",".476","7","33"
"7","Emma Ruggiero","F","10","0","1","1","7","0","10 - 13","2","4","3","1",".000","0","0","0","0.1",".435","1","8"
"12","Ana Orzechowski","D","23","0","1","1","9","-9","1 - 1","20","4","4","7",".000","0","0","0","0.0",".500","9","18"
"71","Richelle Skarbowski","D","24","0","1","1","6","-20","0 - 0","18","20","1","5",".000","0","0","0","0.0",".000","8","15"
"16","Maddie Norton","F","3","0","0","0","1","-2","0 - 1","0","0","1","0",".000","0","0","0","0.0",".000","0","1"
"70","Nikki Kirchberger","D","3","0","0","0","3","-1","0 - 0","2","15","0","0",".000","0","0","0","0.0",".000","0","3"
