"#","Name","Pos","GP","G","A","PTS","SOG","+/-","FO W/L","BkS","PIM","TkA","GvA","S%","PPG","SHG","GWG","PPGA","FO%","ShB","Sh"
"9","Kaycie Anderson","F","24","3","8","11","61","-5","1 - 2","5","4","16","24",".049","0","1","0","0.5",".333","7","79"
"6","Shannon Doyle","D","24","2","9","11","65","-16","0 - 0","68","36","21","31",".031","1","0","0","0.5",".000","37","118"
"15","Emma Vlasic","F","24","9","0","9","67","-21","288 - 209","23","14","12","10",".134","2","0","0","0.4",".580","10","82"
"21","Sarah Schwenzfeier","F","22","6","3","9","55","-10","218 - 259","21","10","24","14",".109","0","0","0","0.4",".457","8","67"
"3","Kayla Meneghin","F","14","4","4","8","37","-7","7 - 6","13","32","8","14",".108","2","0","0","0.6",".539","5","49"
"94","Grace Klienbach","F","24","1","7","8","63","-21","10 - 13","7","20","11","17",".016","0","0","0","0.3",".435","10","81"
"26","Jordan Brickner","D","10","1","6","7","19","-1","0 - 2","7","6","1","2",".053","0","0","0","0.7",".000","9","31"
"16","Hanna Beattie","F/D","22","3","3","6","26","-16","27 - 24","12","18","26","15",".115","0","0","0","0.3",".529","17","52"
"24","Sarah Hughson","F","22","1","4","5","33","-20","13 - 10","6","0","7","16",".030","1","0","0","0.2",".565","6","41"
"18","Elena Gualtieri","F","16","2","2","4","24","-8","1 - 1","5","6","7","7",".083","0","0","0","0.3",".500","6","33"
"19","Janine Weber","F","8","0","4","4","22","-1","2 - 0","4","2","7","8",".000","0","0","0","0.5","1.000","3","27"
"7","Jane Morrisette","F","21","3","0","3","32","-10","69 - 111","3","4","12","15",".094","0","0","0","0.1",".383","7","44"
"14","Elena Orlando","D","24","0","3","3","23","-21","2 - 1","26","12","9","20",".000","0","0","0","0.1",".667","18","46"
"4","Taylor Marchin","D","24","0","3","3","45","-23","0 - 0","35","12","12","10",".000","0","0","0","0.1",".000","28","79"
"11","Brinna Dochniak","F/D","10","0","2","2","8","-7","0 - 0","3","2","2","7",".000","0","0","0","0.2",".000","2","10"
"8","Erin Hall","D","15","0","2","2","6","-6","0 - 0","13","6","4","2",".000","0","0","0","0.1",".000","3","11"
"5","Haley Payne","F","10","1","0","1","5","0","0 - 0","0","0","3","1",".200","0","0","0","0.1",".000","0","6"
"25","Allie Lacombe","F","5","0","1","1","6","0","23 - 13","2","2","4","4",".000","0","0","0","0.2",".639","2","9"
"20","Laurel Hill","D","7","0","1","1","10","-2","0 - 0","0","4","3","2",".000","0","0","0","0.1",".000","5","15"
"2","Maddie Evangelous","F","22","0","1","1","21","-7","0 - 0","7","0","6","5",".000","0","0","0","0.0",".000","2","29"
"17","Katelynn Russ","F","2","0","0","0","9","-1","0 - 0","1","0","2","1",".000","0","0","0","0.0",".000","0","9"
"10","Alexa Aramburu","F","6","0","0","0","17","-6","15 - 9","3","4","4","5",".000","0","0","0","0.0",".625","1","18"
