"#","Name","Pos","GP","G","A","PTS","SOG","+/-","FO W/L","BkS","PIM","TkA","GvA","S%","PPG","SHG","GWG","PPGA","FO%","ShB","Sh"
"14","Madison Packer","F","24","13","21","34","93","+6","13 - 29","22","48","28","21",".140","5","0","1","1.4",".310","20","120"
"28","Kate Leary","F","22","16","11","27","94","+6","3 - 5","10","18","17","22",".170","3","0","0","1.2",".375","11","111"
"10","Kendall Cornine","F","24","13","11","24","115","-7","301 - 261","9","22","24","26",".113","3","1","1","1.0",".536","27","149"
"20","Mallory Rushton","F/D","24","1","12","13","59","-20","4 - 6","6","13","11","18",".017","0","0","1","0.5",".400","22","87"
"17","Tatiana Shatalova","F","23","2","10","12","64","-11","4 - 5","4","29","7","17",".031","0","0","1","0.5",".444","16","82"
"9","Rebecca Morse","D","24","4","7","11","49","-3","0 - 0","17","34","13","9",".082","0","0","2","0.5",".000","29","82"
"13","Cailey Hutchison","F","24","3","8","11","62","-10","249 - 236","8","28","17","11",".048","1","0","0","0.5",".513","16","80"
"8","Colleen Murphy","D","24","1","6","7","33","-1","0 - 0","15","16","21","10",".030","0","0","1","0.3",".000","15","53"
"7","Brooke Baker","F","23","3","3","6","37","-15","3 - 17","13","22","12","19",".081","1","1","1","0.3",".150","4","41"
"22","Kelly Nash","F","10","1","5","6","20","+3","23 - 44","2","6","7","9",".050","0","0","0","0.6",".343","0","20"
"21","Brooke Avery","F","21","5","0","5","35","-4","59 - 58","10","10","8","8",".143","0","0","0","0.2",".504","6","41"
"5","Leila Kilduff","D","22","4","1","5","22","0","0 - 0","27","8","5","10",".182","1","0","0","0.2",".000","11","35"
"15","Jayne Lewis","F","2","1","2","3","2","+2","0 - 0","0","0","2","0",".500","0","0","0","1.5",".000","0","2"
"4","Nicole Arnold","D","22","1","2","3","20","-7","23 - 33","9","2","5","17",".050","0","0","1","0.1",".411","8","29"
"25","Ashley Johnston","D","10","0","3","3","7","+3","0 - 0","14","2","1","4",".000","0","0","0","0.3",".000","7","15"
"26","Kiira Dosdall-Arena","D","13","1","1","2","13","-2","0 - 0","10","10","7","7",".077","0","0","0","0.2",".000","4","20"
"3","Cassie Dunne","D","19","0","2","2","6","-12","1 - 0","7","6","3","5",".000","0","0","0","0.1","1.000","3","9"
"12","Nichelle Simon","F","21","0","2","2","15","-4","10 - 18","6","7","5","8",".000","0","0","0","0.1",".357","8","26"
"23","Haley Frade","F","3","0","1","1","6","0","10 - 27","0","4","0","0",".000","0","0","0","0.3",".270","2","8"
"24","Anna Keys","D","9","0","1","1","4","-1","0 - 0","5","8","4","5",".000","0","0","0","0.1",".000","4","9"
"99","Bulbul Kartanbay","F","10","0","0","0","7","-3","0 - 2","2","2","2","4",".000","0","0","0","0.0",".000","0","7"
