"#","Name","Pos","GP","G","A","PTS","SOG","+/-","FO W/L","BkS","PIM","TkA","GvA","S%","PPG","SHG","GWG","PPGA","FO%","ShB","Sh"
"9","Allie Thunstrom","F","24","24","12","36","142","+35","19 - 10","16","6","27","9",".169","3","2","3","1.5",".655","14","167"
"3","Jonna Curtis","F","21","14","22","36","82","+26","7 - 17","15","10","16","13",".171","4","0","2","1.7",".292","20","109"
"8","Amanda Boulier","D","22","6","21","27","39","+17","1 - 0","23","10","23","22",".154","1","0","1","1.2","1.000","25","68"
"26","Nicole Schammel","F","22","11","14","25","150","+11","34 - 40","2","6","18","23",".073","2","1","2","1.1",".460","24","183"
"20","Meghan Lorence","F","24","10","11","21","80","+7","12 - 7","9","14","20","11",".125","4","2","1","0.9",".632","17","101"
"15","Meaghan Pezon","F","24","8","13","21","54","+18","155 - 207","2","4","14","9",".148","0","0","2","0.9",".428","13","70"
"21","Audra Richards","F","24","9","11","20","78","+12","25 - 26","6","2","7","11",".115","2","0","2","0.8",".490","17","105"
"6","Sydney Baldwin","D","17","8","10","18","55","+14","0 - 1","16","14","11","14",".145","3","0","1","1.1",".000","27","92"
"91","Haylea Schmid","F","24","4","9","13","78","+11","180 - 212","9","10","32","11",".051","0","0","3","0.5",".459","11","96"
"25","Lauren Barnes","F","24","2","11","13","40","+10","169 - 188","5","6","13","12",".050","0","0","0","0.5",".473","10","51"
"18","Stephanie Anderson","F","22","4","6","10","51","-4","49 - 46","12","12","16","8",".078","1","0","0","0.5",".516","17","76"
"11","Lisa Martinson","F","18","1","7","8","27","+17","0 - 1","7","8","8","10",".037","0","0","0","0.4",".000","18","48"
"5","Winny Brodt Brown","D","20","0","5","5","6","+7","1 - 3","15","10","6","4",".000","0","0","0","0.3",".250","7","15"
"23","Nina Rodgers","F","7","1","3","4","9","+2","1 - 0","1","8","1","0",".111","0","0","0","0.6","1.000","2","11"
"12","Kelsey Cline","F/D","12","1","3","4","9","+10","0 - 1","8","6","3","7",".111","0","0","0","0.3",".000","3","12"
"10","Brooke White-Lancette","F","10","2","1","3","8","+4","0 - 2","0","4","3","1",".250","0","0","0","0.3",".000","2","11"
"7","Emma Stauber","D","10","0","3","3","15","+10","0 - 0","3","8","3","5",".000","0","0","0","0.3",".000","6","22"
"4","Chelsey Brodt Rosenthal","D","22","0","3","3","14","+3","0 - 1","15","16","4","8",".000","0","0","0","0.1",".000","7","22"
"32","Sam Donovan","F","6","1","0","1","5","+1","0 - 2","0","0","2","1",".200","0","0","0","0.2",".000","2","8"
"22","Kalli Funk","F","11","0","1","1","10","-2","4 - 0","3","12","0","5",".000","0","0","0","0.1","1.000","4","16"
"14","Rose Alleva","D","17","0","0","0","14","+8","0 - 1","14","2","11","5",".000","0","0","0","0.0",".000","6","21"
